#,JMÉNO,"CELÉ JMÉNO",DYNASTIE,STÁT,*,†,VĚK,VLÁDA*,VLÁDA†,VLÁDA,STOLETÍ
,,,,,,,ROKY,,,ROKY,
,MAXENTIUS,"Marcus Aurelius Valerius Maxentius",,,279,312,33,306,312,6,4.st.
,"KONSTANTIN I. VELIKÝ","Flavius Valerius Constantinus",,,285,337,52,306,337,31,4.st.
,LICINIUS,,,,250,324,74,308,324,16,4.st.
,"MAXIMIUS II. DAIA","Gaius Galerius Valerius Maximinus",,,270,313,43,310,313,3,4.st.
,"CONSTANTINUS II.",,CONSTANTIOVSKÁ,,316,340,24,337,340,3,4.st.
,"CONSTANTIUS II.",,,,317,361,44,337,361,24,4.st.
,"CONSTANS I.",,,,320,350,30,337,350,13,4.st.
,MAGNENTIUS,,,,303,353,50,350,353,3,4.st.
,"JULIANUS APOSTATA","Flavius Claudius Julianus",,,332,363,31,361,363,2,4.st.
,JOVIANUS,,,,330,364,34,363,364,1,4.st.
,"VALENTINIANUS I.",,VALENTIANSKO-THEODOSIOVSKÁ,,321,375,54,364,375,11,4.st.
,VALENS,,,VÝCHOD,328,378,50,364,378,14,4.st.
,GRATIANUS,,,,359,383,24,367,383,16,4.st.
,"VALENTINIANUS II.",,,,371,392,21,375,392,17,4.st.
,"THEODOSIUS I. VELIKÝ",,,VÝCHOD,347,395,48,379,395,16,4.st.
,"MAGNUS MAXIMUS",,,,X,388,#VALUE!,383,388,5,4.st.
,ARCADIUS,,,VÝCHOD,377,408,31,395,408,13,5.st.
,HONORIUS,,,,383,423,40,395,423,28,5.st.
,"CONSTANTINUS III.",,,,X,411,#VALUE!,407,411,4,5.st.
,"THEODOSIUS II.",,,VÝCHOD,401,450,49,408,450,42,5.st.
,"CONSTANTIUS III.",,,,X,421,#VALUE!,421,421,0,5.st.
,JOHANES,,,,X,425,#VALUE!,423,425,2,5.st.
,"VALENTINIANUS III.",,,,419,455,36,425,455,30,5.st.
,MARCIANUS,,,VÝCHOD,392,457,65,450,457,7,5.st.
,"PETRONIUS MAXIMUS",,,,396,455,59,455,455,0,5.st.
,AVITUS,,,,X,456,#VALUE!,455,456,1,5.st.
,"LEO I. VELIKÝ",,,VÝCHOD,401,474,73,457,474,17,5.st.
,MAIORIANUS,,,,X,461,#VALUE!,457,461,4,5.st.
,"LIBIUS SEVERUS",,,,X,465,#VALUE!,461,465,4,5.st.
,ANTHEMIUS,,,,X,472,#VALUE!,467,472,5,5.st.
,OLYBRIUS,,,,X,472,#VALUE!,472,472,0,5.st.
,GLYCERINUS,,,,X,474,#VALUE!,473,474,1,5.st.
,"JULIUS NEPOS",,,,X,480,#VALUE!,474,475,1,5.st.
,"JULIUS NEPOS",,,,,,0,477,480,3,5.st.
,ZENO,,,VÝCHOD,X,491,#VALUE!,474,475,1,5.st.
,ZENO,,,VÝCHOD,,,0,476,491,15,5.st.
,BASILISCUS,,,VÝCHOD,X,476,#VALUE!,475,476,1,5.st.
,"ROMULUS AUGUSTULUS",,,,X,511,#VALUE!,475,476,1,6.st.
