"TIME","GEO","SEX","AGE","Value","Flag and Footnotes"
"2003","Euro area (15 countries)","Total","From 15 to 64 years","18.6",""
"2004","Euro area (15 countries)","Total","From 15 to 64 years","19.6",""
"2005","Euro area (15 countries)","Total","From 15 to 64 years","20.1",""
"2006","Euro area (15 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (15 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (15 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (15 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (15 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (13 countries)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (13 countries)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (13 countries)","Total","From 15 to 64 years","18.6",""
"2004","Euro area (13 countries)","Total","From 15 to 64 years","19.6",""
"2005","Euro area (13 countries)","Total","From 15 to 64 years","20.1",""
"2006","Euro area (13 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (13 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (13 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (13 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (13 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (12 countries)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (12 countries)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (12 countries)","Total","From 15 to 64 years","18.7",""
"2004","Euro area (12 countries)","Total","From 15 to 64 years","19.7",""
"2005","Euro area (12 countries)","Total","From 15 to 64 years","20.2",""
"2006","Euro area (12 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (12 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (12 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (12 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (12 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (11 countries)","Total","From 15 to 64 years","17.8",""
"2002","Euro area (11 countries)","Total","From 15 to 64 years","17.9",""
"2003","Euro area (11 countries)","Total","From 15 to 64 years","18.8",""
"2004","Euro area (11 countries)","Total","From 15 to 64 years","19.7",""
"2005","Euro area (11 countries)","Total","From 15 to 64 years","20.3",""
"2006","Euro area (11 countries)","Total","From 15 to 64 years","20.5",""
"2007","Euro area (11 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (11 countries)","Total","From 15 to 64 years","21.6",""
"2009","Euro area (11 countries)","Total","From 15 to 64 years","22.3",""
"2010","Euro area (11 countries)","Total","From 15 to 64 years","22.7",""
"2001","Belgium","Total","From 15 to 64 years","24.4",""
"2002","Belgium","Total","From 15 to 64 years","24.9",""
"2003","Belgium","Total","From 15 to 64 years","25.6",""
"2004","Belgium","Total","From 15 to 64 years","26.8",""
"2005","Belgium","Total","From 15 to 64 years","27.2",""
"2006","Belgium","Total","From 15 to 64 years","27.9",""
"2007","Belgium","Total","From 15 to 64 years","28.1",""
"2008","Belgium","Total","From 15 to 64 years","28.4",""
"2009","Belgium","Total","From 15 to 64 years","29.4",""
"2010","Belgium","Total","From 15 to 64 years","30.7",""
"2001","Bulgaria","Total","From 15 to 64 years","17.7","b"
"2002","Bulgaria","Total","From 15 to 64 years","17.5",""
"2003","Bulgaria","Total","From 15 to 64 years","17.7",""
"2004","Bulgaria","Total","From 15 to 64 years","17.9",""
"2005","Bulgaria","Total","From 15 to 64 years","17.8",""
"2006","Bulgaria","Total","From 15 to 64 years","18.2","i"
"2007","Bulgaria","Total","From 15 to 64 years","18.5",""
"2008","Bulgaria","Total","From 15 to 64 years","18.9",""
"2009","Bulgaria","Total","From 15 to 64 years","19.2",""
"2010","Bulgaria","Total","From 15 to 64 years","19.4",""
"2001","Czech Republic","Total","From 15 to 64 years","9.7",""
"2002","Czech Republic","Total","From 15 to 64 years","9.9",""
"2003","Czech Republic","Total","From 15 to 64 years","10.0",""
"2004","Czech Republic","Total","From 15 to 64 years","10.4",""
"2005","Czech Republic","Total","From 15 to 64 years","11.0",""
"2006","Czech Republic","Total","From 15 to 64 years","11.4",""
"2007","Czech Republic","Total","From 15 to 64 years","11.6",""
"2008","Czech Republic","Total","From 15 to 64 years","12.4",""
"2009","Czech Republic","Total","From 15 to 64 years","13.4",""
"2010","Czech Republic","Total","From 15 to 64 years","14.5",""
"2001","Denmark","Total","From 15 to 64 years","24.1","i"
"2002","Denmark","Total","From 15 to 64 years","25.1",""
"2003","Denmark","Total","From 15 to 64 years","27.2","b"
"2004","Denmark","Total","From 15 to 64 years","27.9",""
"2005","Denmark","Total","From 15 to 64 years","28.5",""
"2006","Denmark","Total","From 15 to 64 years","29.3",""
"2007","Denmark","Total","From 15 to 64 years","27.1","b"
"2008","Denmark","Total","From 15 to 64 years","27.2",""
"2009","Denmark","Total","From 15 to 64 years","28.4",""
"2010","Denmark","Total","From 15 to 64 years","28.1",""
"2001","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","20.0",""
"2002","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","18.9",""
"2003","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","20.3",""
"2004","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","21.1",""
"2005","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","20.6","b"
"2006","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","20.1",""
"2007","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","20.4",""
"2008","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","21.4",""
"2009","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","22.3",""
"2010","Germany (including  former GDR from 1991)","Total","From 15 to 64 years","22.6",""
"2001","Estonia","Total","From 15 to 64 years","25.0",""
"2002","Estonia","Total","From 15 to 64 years","25.0",""
"2003","Estonia","Total","From 15 to 64 years","25.2",""
"2004","Estonia","Total","From 15 to 64 years","25.7",""
"2005","Estonia","Total","From 15 to 64 years","27.4",""
"2006","Estonia","Total","From 15 to 64 years","27.2",""
"2007","Estonia","Total","From 15 to 64 years","27.3",""
"2008","Estonia","Total","From 15 to 64 years","28.1",""
"2009","Estonia","Total","From 15 to 64 years","29.8",""
"2010","Estonia","Total","From 15 to 64 years","29.7",""
"2001","Ireland","Total","From 15 to 64 years","20.9",""
"2002","Ireland","Total","From 15 to 64 years","22.0",""
"2003","Ireland","Total","From 15 to 64 years","23.5",""
"2004","Ireland","Total","From 15 to 64 years","24.9",""
"2005","Ireland","Total","From 15 to 64 years","26.1",""
"2006","Ireland","Total","From 15 to 64 years","27.7",""
"2007","Ireland","Total","From 15 to 64 years","28.9",""
"2008","Ireland","Total","From 15 to 64 years","30.4",""
"2009","Ireland","Total","From 15 to 64 years","31.6",""
